"repo","cg_source","excluded_files","graph_usable","total_functions","graph_nodes","graph_edges","graph_coverage_pct","llm_direct_invokers","llm_transitive_invokers","eval_direct_invokers","eval_transitive_invokers"
"Shubhamsaboo/awesome-llm-apps","pyan_resilient","1","True","1940","1955","7123","100.8","183","76","0","0"
"TauricResearch/TradingAgents","pyan","0","True","820","918","2549","112.0","15","172","0","0"
"pathwaycom/pathway","pyan_resilient","15","True","6418","9722","266292","151.5","3","18","2","5"
"virattt/ai-hedge-fund","pyan","0","True","526","666","4770","126.6","1","0","0","0"
"langchain-ai/deepagents","pyan_resilient","2","True","24013","27270","323217","113.6","339","9698","0","0"
"vectorize-io/hindsight","pyan_resilient","1","True","14142","15495","152041","109.6","20","69","0","0"
"microsoft/agent-lightning","pyan","0","True","3215","3796","38356","118.1","61","43","0","0"
"Arindam200/awesome-ai-apps","pyan_resilient","1","True","2082","2205","13991","105.9","117","165","1","1"
"lastmile-ai/mcp-agent","pyan_resilient","1","True","4155","4972","53531","119.7","7","91","0","0"
"traceloop/openllmetry","pyan","0","True","5082","5589","24555","110.0","264","66","0","0"
"xtekky/gpt4free","pyan","0","True","1733","2429","48538","140.2","0","0","0","0"
"PrefectHQ/marvin","pyan","0","True","1105","1262","5741","114.2","26","241","0","0"
"NousResearch/hermes-agent","none","1","False","53300","0","0","0.0","26","0","0","0"
"agentscope-ai/agentscope","pyan","0","True","4993","6226","104814","124.7","8","4","0","0"
"topoteretes/cognee","pyan_resilient","3","True","10405","14070","470525","135.2","15","7454","2","1"
"pipecat-ai/pipecat","pyan","0","True","10537","15868","231232","150.6","9","7777","0","0"
"Upsonic/Upsonic","pyan_resilient","2","True","12641","14645","365285","115.9","7","46","0","0"
"open-jarvis/OpenJarvis","pyan","0","True","11965","14253","282600","119.1","27","6955","0","0"
"GetBindu/Bindu","pyan","0","True","2146","2324","10436","108.3","34","5","0","0"
"Eigenwise/atomic-agents","pyan","0","True","1184","1712","10077","144.6","3","172","0","0"
"yusufkaraaslan/Skill_Seekers","pyan_resilient","1","True","7081","7259","58636","102.5","4","3719","0","0"
"liangliangyy/DjangoBlog","pyan","0","True","826","693","2348","83.9","0","0","0","0"
"microsoft/agent-governance-toolkit","none","5","False","25942","0","0","0.0","52","0","0","0"
"django-haystack/django-haystack","pyan","0","True","1693","1919","32421","113.3","6","1152","0","0"
"Sumanth077/Hands-On-AI-Engineering","none","41","False","858","0","0","0.0","42","0","0","0"
"potpie-ai/potpie","pyan","0","True","7771","9362","315940","120.5","3","53","0","0"
"rhesis-ai/rhesis","pyan","0","True","15492","17931","309541","115.7","61","100","16","213"
"evalops/cognitive-dissonance-dspy","pyan","0","True","710","775","4503","109.2","15","50","0","0"
"microsoft/content-processing-solution-accelerator","pyan","0","True","2405","2814","10733","117.0","12","29","0","0"
"skygazer42/Weaver","pyan","0","True","2126","2601","28871","122.3","113","242","0","0"
"plexe-ai/plexe","pyan","0","True","685","756","4443","110.4","14","21","0","0"
"mims-harvard/ToolUniverse","pyan_resilient","1","True","18291","22284","136053","121.8","7","28","0","0"
"future-agi/future-agi","none","2","False","25772","0","0","0.0","23","0","0","0"
"wandb/weave","pyan_resilient","4","True","9979","14336","519987","143.7","105","7899","0","0"
"Arize-ai/openinference","pyan_resilient","4","True","4698","4975","47930","105.9","214","34","0","0"
"getzep/zep","pyan","0","True","2559","2730","9510","106.7","53","45","0","0"
"openagents-org/openagents","pyan_resilient","1","True","5852","5971","79319","102.0","12","35","0","0"
"NVIDIA/NeMo-Agent-Toolkit","pyan","0","True","12437","15109","73478","121.5","100","152","4","3"
"splx-ai/agentic-radar","pyan_resilient","1","True","486","645","5571","132.7","34","15","0","0"
"victordibia/designing-multiagent-systems","pyan","0","True","2021","2461","27097","121.8","68","23","0","0"
"microsoft/promptflow","pyan_resilient","1","True","10928","10356","132722","94.8","103","2824","0","0"
"microsoft/OpenAIWorkshop","pyan","0","True","516","432","2004","83.7","27","17","0","0"
"microsoft/Multi-Agent-Custom-Automation-Engine-Solution-Accelerator","pyan_resilient","2","True","1452","1492","12128","102.8","3","39","0","0"
"agentscope-ai/agentscope-runtime","pyan","0","True","2665","3173","46636","119.1","15","4","0","0"
"learntocloud/learn-to-cloud-app","pyan","0","True","1717","1857","8636","108.2","1","3","0","0"
"JetAstra/SDAR","pyan_resilient","3","True","4174","7922","94679","189.8","7","4","0","0"
"hongbo-miao/hongbomiao.com","pyan","0","True","1084","839","2446","77.4","5","9","1","0"
"MemoriLabs/Memori","pyan","0","True","2199","2480","21356","112.8","236","0","0","0"
"ValueCell-ai/valuecell","pyan","0","True","1533","1983","31353","129.4","12","373","0","0"
"mongodb/motor","pyan","0","True","880","1004","14452","114.1","0","0","0","0"
"sunnypilot/sunnypilot","none","0","False","5192","0","0","0.0","0","0","0","0"
"ascending-llc/jarvis-registry","pyan_resilient","1","True","5090","5541","48563","108.9","18","73","0","0"
"InternScience/InternAgent","pyan_resilient","3","True","8255","9304","149911","112.7","127","4319","1","1"
"OPPO-PersonalAI/Agent-KB","pyan_resilient","1","True","6514","6782","61491","104.1","11","12","0","0"
"RenqiChen/Virtual-Scientists-v2","pyan","0","True","1019","1174","11743","115.2","44","263","0","0"
"PurpleAILAB/Decepticon","pyan_resilient","2","True","7558","8672","80932","114.7","42","8","0","0"
"gptme/gptme","pyan_resilient","4","True","14941","16577","137810","110.9","12","9788","0","0"
"modelscope/ms-agent","pyan_resilient","1","True","5804","6430","86372","110.8","14","3488","0","0"
"ginlix-ai/LangAlpha","pyan_resilient","3","True","14637","15868","173932","108.4","38","7927","0","0"
"massgen/MassGen","pyan_resilient","5","True","14121","16335","505767","115.7","33","7243","0","0"
"run-llama/llama_index","none","3","False","17851","0","0","0.0","28","0","0","0"
"ggozad/haiku.rag","pyan_resilient","1","True","3079","3771","31370","122.5","17","402","0","0"
